Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
IVTT3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-0,40%",0.0,1083050000.0,0.0,"20,67%"
PORP4,2.4,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-2,08%",0.0,22399000.0,0.0,"13,66%"
MNSA4,0.47,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%"
MNSA3,0.42,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%"
CLAN3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-1,05%",0.0,1012240000.0,0.0,"-63,96%"
CFLU4,1000.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,88%","10,72%",1.1,"17,68%","32,15%",0.0,60351000.0,0.06,"8,14%"
POPR4,10.17,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,66%","5,65%",1.08,"15,25%","19,93%",0.0,545803000.0,0.82,"30,93%"
PMET3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","4,10%",0.0,-290863000.0,0.0,"37,74%"
CSTB3,150.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%"
CSTB4,147.69,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%"
GNDI3,66.95,-3584.82,5.84,3.423,"2,39%",2.378,79.65,87.05,-6.21,91.13,50.88,"3,93%","-0,09%",1.17,"3,09%","-0,16%",0.0,7116080000.0,0.53,"25,23%"
PRNR3,12.29,-1764.5,2.1,0.473,"0,00%",0.66,3.97,5.15,-4.19,7.08,5.18,"9,20%","3,22%",1.49,"15,44%","-0,12%",2531900.0,227184000.0,1.2,"36,30%"
ATOM3,2.21,-649.49,2.88,2.243,"14,50%",1.871,2.03,-17.94,2.98,-10.92,-11.73,"-12,50%","-0,35%",17.09,"-40,57%","-0,44%",27209.8,18297000.0,0.0,"20,53%"
PLDN4,486.0,-553.07,1.08,0.919,"0,00%",0.611,1.07,-75.56,3.1,-33.12,-33.12,"-1,22%","-0,17%",10.81,"-1,27%","-0,20%",0.0,289939000.0,0.01,"10,26%"
LVTC3,4.09,-500.89,0.41,0.276,"0,33%",0.19,0.68,1.25,-2.02,0.78,0.41,"22,13%","-0,06%",2.75,"17,37%","-0,08%",91035.0,644883000.0,0.0,"-10,31%"
GUAR4,151.0,-465.97,15.12,8.708,"0,00%",5.467,22.57,357.43,-748.3,365.57,92.92,"2,44%","-1,87%",1.62,"1,94%","-3,24%",0.0,4986780000.0,0.75,"5,42%"
EMBR3,22.74,-412.28,1.32,0.627,"0,00%",0.323,1.45,7.59,-1.96,10.48,6.86,"8,27%","-0,26%",1.65,"5,60%","-0,32%",141896000.0,12757400000.0,1.12,"21,60%"
LWSA3,6.03,-405.65,1.23,2.875,"0,87%",0.799,6.12,52.11,11.03,37.07,13.84,"5,52%","-0,71%",1.45,"2,05%","-0,30%",52416500.0,2921510000.0,0.02,"41,70%"
LCSA4,35.09,-337.52,-228.0,79.738,"0,00%",125.308,-202.27,-505.8,-96.61,-506.56,-506.56,"-15,77%","-23,63%",0.29,"-28,74%","67,55%",0.0,-377568000.0,-0.35,"6.354,07%"
BHGR3,19.1,-272.16,1.1,3.613,"0,00%",0.855,-194.45,23.7,-8.56,25.95,14.2,"15,24%","-1,31%",0.96,"3,93%","-0,40%",0.0,1077600000.0,0.2,"20,67%"
DMMO3,1.76,-258.65,-1.72,2.854,"0,00%",3.346,11.9,6.37,-1.37,5.9,5.42,"44,81%","-1,10%",2.25,"70,39%","0,66%",0.0,-553275000.0,0.0,"-17,37%"
RJCP3,0.01,-224.7,0.65,0.0,"0,00%",0.619,0.0,-522.94,0.0,-523.96,-917.32,"0,00%","0,00%",0.0,"0,00%","-0,29%",0.0,17287200.0,0.0,"0,00%"
ABYA3,4.91,-214.8,1.76,2.055,"0,00%",0.527,1.98,19.96,-2.75,33.67,33.67,"10,29%","-0,96%",2.09,"2,78%","-0,82%",0.0,292060000.0,1.31,"16,41%"
PITI4,1.28,-204.74,0.0,0.0,"0,00%",0.0,0.0,-2637.65,0.0,-2637.65,111.07,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"-29,63%"
MAPT3,30.05,-189.15,-4.44,0.0,"0,00%",35.726,-27615.9,-197.26,-3.95,-197.26,-197.26,"0,00%","0,00%",0.0,"-18,11%","2,35%",0.0,-6223000.0,0.0,"0,00%"
RRRP3,26.42,-172.38,1.22,1.504,"0,00%",0.329,109.99,7.07,-0.55,15.71,10.0,"21,28%","-1,52%",1.02,"5,03%","-0,71%",178026000.0,5185410000.0,1.65,"153,80%"
BAUH4,75.0,-138.05,3.96,1.796,"1,61%",2.396,27.82,42.1,39.45,39.73,24.95,"4,27%","-1,30%",1.23,"9,17%","-2,87%",11198.0,98833000.0,0.08,"4,28%"
LCSA3,12.5,-120.23,-81.22,28.405,"0,00%",44.638,-72.05,-180.18,-34.41,-180.95,-180.95,"-15,77%","-23,63%",0.29,"-28,74%","67,55%",0.0,-377568000.0,-0.35,"6.354,07%"
MAGG3,59.4,-119.98,1.32,0.684,"0,00%",0.44,9.32,4.07,-1.55,6.41,5.34,"16,82%","-0,57%",1.14,"14,05%","-1,10%",0.0,2246130000.0,1.03,"9,27%"
SQIA3,27.37,-110.33,3.7,3.592,"0,20%",1.49,25.87,62.33,-3.84,67.32,18.5,"5,76%","-2,88%",1.43,"2,81%","-3,35%",6388920.0,650717000.0,0.65,"46,32%"
CBEE3,14.8,-105.95,0.7,0.483,"0,00%",0.213,-0.97,3.09,-0.42,7.38,4.69,"15,64%","-0,46%",0.46,"7,62%","-0,66%",835.86,5368910000.0,1.04,"9,51%"
MOVI3,11.69,-94.73,1.4,0.401,"2,33%",0.195,5.09,1.9,-0.3,7.15,4.19,"21,06%","-0,42%",1.21,"12,65%","-1,48%",47893500.0,3027690000.0,4.52,"34,47%"
LINX3,37.4,-90.95,4.38,7.885,"1,52%",2.745,11.96,53.17,47.06,51.49,22.97,"14,83%","-8,67%",2.14,"6,82%","-4,81%",0.0,1619010000.0,0.22,"15,54%"
BNCA3,70.3,-90.3,2.45,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-2,72%",0.0,3068150000.0,0.0,"2,41%"
CSAN3,19.19,-77.83,1.95,0.885,"2,23%",0.261,3.34,5.21,-0.58,12.05,8.13,"16,98%","6,43%",1.62,"5,79%","-2,50%",125893000.0,18481500000.0,3.37,"39,10%"
AMIL3,32.2,-73.28,7.7,1.129,"0,00%",2.003,-16.95,136.58,-5.43,138.61,50.13,"0,83%","-1,53%",0.75,"2,22%","-10,51%",0.0,1532980000.0,1.24,"28,47%"
BRTP3,35.71,-67.26,2.45,1.168,"0,00%",0.684,8.98,6.03,-2.4,7.55,7.55,"19,37%","-2,96%",1.29,"13,41%","-3,64%",0.0,5302340000.0,0.91,"3,66%"
IDVL11,140.0,-66.0,60.56,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-91,76%",0.0,237683000.0,0.0,"0,00%"
OFSA3,25.58,-59.09,2.06,1.4,"1,85%",1.087,2.85,10.72,6.7,11.39,8.95,"13,06%","-2,37%",2.51,"13,82%","-3,49%",194557.0,669547000.0,0.53,"14,27%"
DOHL3,7.0,-56.76,0.76,0.867,"0,00%",0.533,1.19,-34.32,2.06,-37.76,232.8,"-2,53%","-1,53%",5.15,"-1,74%","-1,33%",236.67,699312000.0,0.18,"7,38%"
SCLO3,14.1,-55.04,-83.94,0.0,"0,00%",725.908,-76.91,-96.03,-76.23,-96.22,-96.22,"0,00%","0,00%",0.01,"-782,59%","152,53%",0.0,-161253.0,-0.17,"0,00%"
PEFX3,19.0,-52.04,1.68,0.477,"0,00%",0.597,20.34,5.75,-3.18,6.59,0.0,"8,30%","-0,92%",1.07,"11,77%","-3,24%",0.0,396955000.0,0.31,"4,36%"
PEFX5,19.0,-52.04,1.68,0.477,"0,00%",0.597,20.34,5.75,-3.18,6.59,0.0,"8,30%","-0,92%",1.07,"11,77%","-3,24%",0.0,396955000.0,0.31,"4,36%"
MAPT4,8.0,-50.36,-1.18,0.0,"0,00%",9.511,-7352.0,-52.51,-1.05,-52.51,-52.51,"0,00%","0,00%",0.0,"-18,11%","2,35%",184.98,-6223000.0,0.0,"0,00%"
MTIG4,23.0,-49.52,-359.15,56.001,"0,00%",36.906,-50.93,-94.31,-44.0,-95.57,-104.6,"-59,38%","-113,09%",0.27,"-47,80%","725,28%",0.0,-7835380.0,-4.95,"-26,54%"
TOYB4,2.5,-47.96,-5.43,5.256,"0,00%",4.405,-6.47,-9.04,-3.83,-9.15,-9.67,"-58,16%","-10,96%",0.49,"-59,36%","11,31%",0.0,-13852000.0,-0.07,"-26,99%"
MYPK4,31.79,-47.49,1.27,0.313,"0,00%",0.324,1.66,7.18,-1.73,12.78,7.5,"4,36%","-0,03%",1.58,"6,85%","-2,68%",0.0,3834280000.0,1.79,"16,94%"
IMBI3,5.01,-46.42,2.81,2659.02,"0,00%",0.518,-2.21,-97.12,-0.37,-104.72,-107.45,"-2.737,88%","-13.821,20%",0.05,"-0,54%","-6,05%",0.0,62544000.0,0.22,"-57,16%"
CLAN4,3.0,-44.92,0.47,15.151,"0,00%",0.406,-15.5,-82.56,-6.36,-97.43,22.68,"-18,35%","-33,73%",0.73,"-0,50%","-1,05%",0.0,1012240000.0,0.08,"-63,96%"
TOYB3,2.29,-43.94,-4.97,4.815,"0,00%",4.035,-5.93,-8.28,-3.5,-8.39,-8.87,"-58,16%","-10,96%",0.49,"-59,36%","11,31%",0.0,-13852000.0,-0.07,"-26,99%"
EBTP3,10.21,-43.56,1.17,0.548,"0,00%",0.353,-502.47,6.42,-0.73,8.46,2.85,"8,53%","-1,03%",0.99,"6,03%","-2,68%",0.0,10782200000.0,0.39,"22,10%"
USIM6,15.99,-43.02,0.85,0.703,"2,06%",0.498,1.5,15.53,4.21,15.8,8.87,"4,52%","-0,61%",3.43,"4,04%","-1,99%",74.37,23446300000.0,0.26,"24,25%"
DOHL4,5.29,-42.89,0.57,0.655,"0,00%",0.403,0.9,-25.93,1.55,-29.38,181.12,"-2,53%","-1,53%",5.15,"-1,74%","-1,33%",18064.9,699312000.0,0.18,"7,38%"
EBTP4,10.0,-42.66,1.14,0.537,"0,00%",0.346,-492.13,6.29,-0.71,8.33,2.81,"8,53%","-1,03%",0.99,"6,03%","-2,68%",0.0,10782200000.0,0.39,"22,10%"
FBRA4,34.58,-39.57,1.66,0.457,"0,00%",0.738,18.94,7.4,-4.43,10.62,10.62,"6,18%","-1,15%",1.11,"11,94%","-4,20%",0.0,213406000.0,0.77,"12,48%"
BRTP4,20.81,-39.19,1.43,0.681,"0,00%",0.399,5.23,3.51,-1.4,5.03,5.03,"19,37%","-2,96%",1.29,"13,41%","-3,64%",0.0,5302340000.0,0.91,"3,66%"
MGLU3,2.12,-35.98,1.5,0.383,"0,00%",0.388,6.09,13.94,-1.81,17.95,7.95,"2,75%","-1,06%",1.14,"4,22%","-4,17%",368464000.0,9532650000.0,0.78,"19,50%"
KROT11,40.0,-35.86,0.89,1.887,"0,00%",0.425,13.84,8.34,-1.39,13.07,8.59,"22,62%","-5,52%",1.21,"5,64%","-2,47%",0.0,12083300000.0,0.61,"-6,35%"
ITEC3,40.1,-35.12,22.04,2611.69,"0,00%",9.216,25.42,-26.0,-68.91,-24.8,-29.56,"-10.044,70%","-7.435,88%",5.23,"-63,06%","-62,76%",0.0,20143000.0,0.0,"-74,79%"
PRGA4,75.0,-34.18,8.94,2.339,"0,00%",2.13,19.9,5340.37,-7.99,5802.46,43.17,"0,04%","-6,63%",1.29,"0,07%","-26,15%",0.0,14121800000.0,1.58,"17,07%"
IMBI4,3.5,-32.43,1.96,1857.6,"0,00%",0.362,-1.54,-67.85,-0.26,-75.44,-77.41,"-2.737,88%","-13.821,20%",0.05,"-0,54%","-6,05%",0.0,62544000.0,0.22,"-57,16%"
PRTX3,2.77,-32.27,-145.32,297.651,"0,00%",1.4,-2.57,-97.11,-1.43,-128.99,37.19,"-306,50%","-922,47%",0.05,"-1,50%","450,37%",0.0,-18917000.0,-49.85,"307,96%"
MNPR3,18.3,-32.22,-0.4,0.343,"0,00%",0.39,-0.35,1.96,-0.28,1.96,1.71,"17,47%","-1,06%",0.34,"21,00%","1,25%",51765.7,-322426000.0,0.0,"16,20%"
KROT4,5.12,-32.13,0.8,1.691,"0,00%",0.381,12.4,7.47,-1.25,12.2,8.02,"22,62%","-5,52%",1.21,"5,64%","-2,47%",0.0,12083300000.0,0.61,"-6,35%"
OMGE3,27.57,-32.03,1.59,3.419,"0,00%",0.543,10.86,12.56,-1.06,24.34,13.09,"27,23%","-11,12%",1.72,"4,69%","-4,95%",0.0,3483570000.0,1.66,"38,73%"
HAPV3,4.35,-32.02,0.67,1.217,"0,00%",0.439,77.03,939.98,-1.96,1096.99,17.08,"0,13%","-3,81%",1.05,"0,05%","-2,09%",346214000.0,49114400000.0,0.22,"52,89%"
DFVA3,9.9,-31.38,60.69,4.327,"0,00%",5.365,29.1,-55.91,-31.47,-58.28,-58.28,"-7,74%","-13,79%",1.33,"-10,35%","-193,42%",0.0,1170000.0,2.84,"3,39%"
ASTA4,25.83,-30.79,1.0,0.652,"0,00%",0.446,2.57,19.9,-3.3,33.2,33.2,"3,28%","-2,12%",1.71,"2,52%","-3,25%",0.0,515672000.0,0.85,"-4,73%"
VGOR4,5.87,-29.58,7.18,1.229,"0,00%",1.468,113.97,27.32,-3.22,34.09,34.09,"4,50%","-4,59%",1.04,"6,00%","-24,29%",0.0,135178000.0,1.89,"4,77%"
BALM3,11.0,-29.56,0.73,0.589,"9,02%",0.432,0.91,3.81,1.44,2.66,2.29,"15,45%","-0,48%",3.08,"15,33%","-2,48%",996.19,146999000.0,0.15,"3,82%"
LJQQ3,5.71,-28.97,2.12,0.453,"0,00%",0.35,1.14,21.08,-2.07,20.74,6.08,"2,15%","-1,56%",1.86,"2,14%","-7,33%",20413400.0,503826000.0,0.73,"9,36%"
CRBM3,90.0,-28.95,3.26,1.498,"0,00%",1.172,2.98,-15.45,16.9,-14.17,-14.17,"-9,70%","-5,18%",2.24,"-12,71%","-11,28%",0.0,827347000.0,0.45,"-1,58%"
CSNA3,19.11,-28.79,1.43,0.569,"13,02%",0.287,2.3,3.58,-0.69,7.41,5.04,"15,90%","-0,56%",1.53,"10,91%","-4,96%",136282000.0,17762500000.0,2.45,"17,89%"
BAHI4,86.0,-27.97,52.67,6.01,"0,00%",3.635,-9.67,-171.36,-4.23,-184.84,489.64,"-3,51%","-22,11%",0.13,"-2,19%","-188,32%",0.0,43092000.0,4.38,"63,05%"
BALM4,10.08,-27.09,0.67,0.54,"9,84%",0.396,0.83,3.49,1.32,2.34,2.02,"15,45%","-0,48%",3.08,"15,33%","-2,48%",6023.65,146999000.0,0.15,"3,82%"
PTBL3,7.32,-25.63,2.7,0.484,"2,87%",0.34,-46.04,7.92,-0.71,14.57,7.36,"6,12%","-1,89%",0.98,"5,80%","-10,54%",5736250.0,382221000.0,3.12,"21,51%"
MRVE3,10.72,-25.41,0.88,0.841,"0,00%",0.25,1.13,30.49,-1.04,65.7,36.14,"2,76%","-2,89%",1.99,"0,87%","-3,45%",119446000.0,6862600000.0,1.12,"3,85%"
DFVA4,8.0,-25.35,49.04,3.497,"0,00%",4.335,23.51,-45.18,-25.43,-47.55,-47.55,"-7,74%","-13,79%",1.33,"-10,35%","-193,42%",0.0,1170000.0,2.84,"3,39%"
USIM5,9.28,-24.97,0.5,0.408,"3,54%",0.289,0.87,9.01,2.44,9.28,5.21,"4,52%","-0,61%",3.43,"4,04%","-1,99%",97447800.0,23446300000.0,0.26,"24,25%"
USIM3,9.06,-24.37,0.48,0.398,"3,30%",0.282,0.85,8.8,2.38,9.07,5.09,"4,52%","-0,61%",3.43,"4,04%","-1,99%",4035030.0,23446300000.0,0.26,"24,25%"
CLSA3,3.6,-24.12,0.94,1.298,"0,00%",0.753,1.59,-8.1,1.66,-3.63,-7.42,"-16,03%","-5,38%",3.59,"-18,35%","-3,92%",2177280.0,716090000.0,0.06,"6,43%"
ALPA3,9.75,-23.65,1.24,1.74,"0,00%",0.843,3.0,65.68,11.19,73.85,25.45,"2,65%","-7,37%",3.51,"1,47%","-5,22%",37734.5,5390030000.0,0.28,"0,81%"
ALPA4,9.5,-23.04,1.2,1.695,"0,00%",0.821,2.92,64.0,10.9,72.17,24.87,"2,65%","-7,37%",3.51,"1,47%","-5,22%",35721200.0,5390030000.0,0.28,"0,81%"
MODL3,3.08,-22.99,1.88,0.0,"0,71%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-8,17%",0.0,1154890000.0,0.0,"-62,37%"
QUAL3,3.24,-22.97,0.69,0.514,"2,44%",0.196,4.14,2.21,-0.54,5.32,2.52,"23,33%","-1,83%",1.16,"12,64%","-3,02%",21772800.0,1326160000.0,1.76,"-1,88%"
AMBP3,17.4,-22.9,2.94,0.616,"0,52%",0.277,1.16,3.04,-0.67,7.77,5.5,"20,25%","-0,63%",2.3,"12,67%","-12,82%",21579700.0,989635000.0,7.15,"79,72%"
TAMM4,52.73,-22.74,3.8,0.626,"0,00%",0.524,-31.11,9.77,-0.96,18.01,9.66,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%"
TAMM3,52.6,-22.68,3.79,0.625,"0,00%",0.523,-31.04,9.74,-0.96,17.98,9.65,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%"
ESPA3,1.24,-22.22,0.51,0.451,"0,00%",0.196,3.37,3.97,-1.0,10.08,5.81,"11,36%","-2,27%",1.16,"5,54%","-2,30%",2168200.0,877564000.0,1.04,"14,84%"
COGN3,3.48,-21.84,0.54,1.149,"0,00%",0.259,8.43,5.08,-0.85,9.81,6.45,"22,62%","-5,52%",1.21,"5,64%","-2,47%",71876400.0,12083300000.0,0.61,"-6,35%"
BAHI5,65.0,-21.14,39.81,4.542,"0,00%",2.747,-7.31,-129.51,-3.19,-143.0,378.8,"-3,51%","-22,11%",0.13,"-2,19%","-188,32%",0.0,43092000.0,4.38,"63,05%"
MODL11,8.46,-21.05,1.72,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-8,17%",0.0,1154890000.0,0.0,"-62,37%"
GUAR3,6.64,-20.49,0.66,0.383,"0,00%",0.24,0.99,15.72,-32.91,23.86,6.07,"2,44%","-1,87%",1.62,"1,94%","-3,24%",12692700.0,4986780000.0,0.75,"5,42%"
TELB3,16.0,-20.36,0.87,3.478,"0,00%",0.341,1.07,-4.45,-1.63,-0.81,-4.01,"-78,09%","-17,09%",4.96,"-11,71%","-4,28%",45392.7,1586870000.0,0.07,"58,75%"
MODL4,2.72,-20.3,1.66,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-8,17%",0.0,1154890000.0,0.0,"-62,37%"
ORVR3,36.8,-19.97,4.94,4.033,"0,00%",1.363,9.17,32.7,-3.15,42.81,14.55,"12,33%","-19,37%",2.22,"4,70%","-24,76%",13993800.0,617519000.0,1.85,"40,55%"
ANIM3,4.53,-19.61,0.72,0.498,"0,00%",0.184,10.46,2.97,-0.36,9.46,5.01,"16,78%","1,57%",1.1,"7,12%","-3,66%",31691900.0,2551290000.0,1.98,"38,61%"
CRBM7,60.0,-19.3,2.18,0.999,"0,00%",0.782,1.99,-10.3,11.26,-9.02,-9.02,"-9,70%","-5,18%",2.24,"-12,71%","-11,28%",0.0,827347000.0,0.45,"-1,58%"
WMBY3,25.39,-19.3,2.87,0.836,"0,00%",0.182,1.2,8.62,-1.5,25.02,25.02,"9,70%","-7,05%",1.44,"2,39%","-14,86%",0.0,212439000.0,6.51,"-14,48%"
OPCT3,6.47,-19.26,1.63,0.836,"0,00%",0.534,6.22,6.27,-1.43,11.01,4.99,"13,34%","5,27%",1.41,"9,99%","-8,45%",3051810.0,794548000.0,1.56,"52,49%"
MYPK3,12.82,-19.15,0.51,0.126,"2,35%",0.131,0.67,2.89,-0.7,8.49,4.98,"4,36%","-0,03%",1.58,"6,85%","-2,68%",16094000.0,3834280000.0,1.79,"16,94%"
TDBH4,0.66,-18.63,1.28,0.906,"0,00%",0.811,-6.15,8.73,-5.66,10.23,10.23,"10,38%","-4,86%",0.63,"10,48%","-6,85%",0.0,554115000.0,0.27,"35,74%"
TANC4,43.0,-18.54,3.1,0.511,"0,00%",0.428,-25.37,7.96,-0.78,16.2,8.69,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%"
CASH3,8.29,-18.46,0.92,2.096,"0,00%",0.597,1.22,-9.46,1.35,-3.95,-5.35,"-22,15%","-7,18%",2.65,"-9,79%","-4,98%",16402600.0,780734000.0,0.0,"28,20%"
RCSL3,1.92,-17.67,2106.85,3.955,"0,00%",3.986,29.36,-123.49,-7.85,-123.47,-349.57,"-3,20%","-22,70%",1.38,"-3,35%","-11.920,70%",2655950.0,116000.0,0.0,"41,90%"
SYNE3,4.5,-17.51,0.45,1.619,"0,00%",0.171,2.12,4.75,-0.66,9.44,6.46,"34,08%","-6,35%",4.01,"3,92%","-2,60%",2080320.0,1510730000.0,0.67,"15,16%"
TELB4,13.42,-17.07,0.73,2.917,"0,00%",0.286,0.9,-3.74,-1.37,-0.09,-0.45,"-78,09%","-17,09%",4.96,"-11,71%","-4,28%",90878.5,1586870000.0,0.07,"58,75%"
CCIM3,5.52,-16.44,0.94,0.498,"0,00%",0.198,0.53,8.96,-1.09,25.04,38.84,"5,55%","-3,03%",2.58,"2,38%","-5,75%",0.0,660347000.0,1.93,"29,98%"
TDBH3,0.56,-15.81,1.08,0.769,"0,00%",0.688,-5.22,7.4,-4.8,8.91,8.91,"10,38%","-4,86%",0.63,"10,48%","-6,85%",0.0,554115000.0,0.27,"35,74%"
GBIO33,10.4,-14.97,1.32,1.518,"0,00%",0.791,7.57,13.53,17.58,16.06,16.06,"11,21%","-10,14%",1.31,"7,12%","-8,83%",0.0,838439000.0,0.31,"-8,99%"
ZAMP3,5.8,-13.87,1.2,0.418,"0,00%",0.401,60.03,16.79,-0.88,24.77,4.48,"2,49%","-3,02%",1.03,"2,86%","-8,65%",16249700.0,1331470000.0,0.87,"11,28%"
DOTZ3,8.6,-13.67,-5.13,8.193,"0,00%",3.805,-6.09,-27.63,-3.03,-27.65,-77.44,"-29,65%","-59,93%",0.44,"-25,73%","37,49%",81257.4,-222238000.0,-0.47,"3,03%"
LECO4,1.46,-13.48,2.0,0.637,"0,00%",0.924,-16.84,-29.69,-3.16,-32.69,-32.69,"-2,14%","-4,72%",0.82,"-3,48%","-14,82%",0.0,105928000.0,0.2,"3,58%"
SEDU3,23.8,-13.36,15.0,3.443,"0,00%",1.531,57.9,-22.47,-2.67,-28.68,-69.64,"-15,33%","-25,73%",1.09,"-8,15%","-112,29%",0.0,415869000.0,4.67,"10,87%"
TESA3,48.0,-13.3,1.62,1.007,"0,00%",0.523,-11.1,9.41,-1.35,15.25,10.09,"10,71%","-7,58%",0.86,"6,42%","-12,18%",0.0,858223000.0,1.04,"15,48%"
IGUA3,8.15,-12.52,-1.44,0.568,"0,00%",0.564,-0.65,8.22,-0.6,14.8,5.8,"6,91%","-4,53%",0.34,"7,61%","11,52%",0.0,-164188000.0,-1.33,"-7,41%"
FGUI3,12.0,-12.41,-2.15,16.009,"0,00%",25.203,-2.2,-57.76,-2.05,-70.17,-70.17,"-27,72%","-129,00%",0.04,"-60,74%","17,32%",0.0,-222024000.0,-0.46,"2,13%"
IGUA6,8.07,-12.4,-1.43,0.562,"0,00%",0.558,-0.64,8.14,-0.59,14.72,5.77,"6,91%","-4,53%",0.34,"7,61%","11,52%",0.0,-164188000.0,-1.33,"-7,41%"
IGUA5,7.98,-12.26,-1.41,0.556,"0,00%",0.552,-0.64,8.04,-0.59,14.63,5.73,"6,91%","-4,53%",0.34,"7,61%","11,52%",0.0,-164188000.0,-1.33,"-7,41%"
PRVI3,10.54,-11.74,1.61,0.919,"0,00%",0.565,-250.86,9.71,-1.48,9.87,6.39,"9,46%","-7,83%",0.99,"6,15%","-13,71%",0.0,525170000.0,0.1,"16,19%"
MTIG3,5.21,-11.22,-81.36,12.686,"0,00%",8.36,-11.54,-21.36,-9.97,-22.62,-24.76,"-59,38%","-113,09%",0.27,"-47,80%","725,28%",0.0,-7835380.0,-4.95,"-26,54%"
CPNY3,2.35,-11.0,0.42,0.232,"0,00%",0.054,0.2,1.21,-0.13,4.21,4.21,"19,13%","-2,11%",2.26,"5,48%","-3,86%",0.0,398830000.0,2.33,"20,10%"
AERI3,0.96,-10.9,1.46,0.37,"0,00%",0.312,1.46,4.05,-2.84,7.53,6.38,"9,12%","-3,39%",1.46,"10,74%","-13,42%",4528460.0,815079000.0,2.17,"10,41%"
ARTR3,10.01,-10.24,1.17,0.995,"0,00%",0.299,-11.3,3.08,-0.47,8.79,5.47,"32,31%","-9,72%",0.79,"10,72%","-11,44%",0.0,4911650000.0,2.5,"14,84%"
ECPR4,90.74,-9.92,1.22,0.0,"0,00%",0.624,175.57,-82.97,-1.29,-82.6,-82.72,"0,00%","0,00%",2.97,"-0,75%","-12,28%",0.0,141476000.0,0.0,"0,00%"
ECPR3,90.25,-9.87,1.21,0.0,"0,00%",0.621,174.62,-82.52,-1.29,-82.15,-82.27,"0,00%","0,00%",2.97,"-0,75%","-12,28%",0.0,141476000.0,0.0,"0,00%"
ALPK3,4.73,-9.48,2.7,0.795,"0,00%",0.399,-3.43,3.82,-0.56,8.31,4.45,"20,82%","-7,99%",0.55,"12,18%","-28,46%",827063.0,380467000.0,3.78,"30,83%"
DASA3,10.17,-9.08,0.96,0.539,"0,71%",0.283,4.42,7.32,-0.7,15.88,7.37,"7,36%","-5,98%",1.27,"4,48%","-10,61%",4074260.0,7944720000.0,1.43,"37,37%"
PTBL4,2.59,-9.07,0.96,0.171,"0,00%",0.12,-16.29,2.8,-0.25,9.45,4.77,"6,12%","-1,89%",0.98,"5,80%","-10,54%",0.0,382221000.0,3.12,"21,51%"
BIOM4,8.68,-9.06,7.81,6.212,"0,00%",2.279,22.25,-11.06,-6.5,-12.63,-12.5,"-56,17%","-68,60%",1.4,"-26,04%","-86,26%",0.0,99012000.0,1.58,"108,78%"
TERI3,64.28,-8.83,0.29,0.107,"0,00%",0.081,7.9,7.2,-0.26,39.56,39.56,"1,49%","-1,91%",1.03,"1,25%","-3,27%",0.0,3641000000.0,1.43,"7,94%"
