Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
RPAD5,7.91,20.04,0.61,0.0,"7,31%",0.606,11.63,-92.65,11.65,-84.13,-84.13,"0,00%","0,00%",12.57,"-0,69%","3,04%",8543.0,1100650000.0,0.0,"-52,87%"
AEDU11,37.35,20.13,1.13,1.405,"0,00%",0.732,5.77,13.93,-7.31,16.14,10.82,"10,08%","6,98%",2.04,"5,77%","5,60%",0.0,2415400000.0,0.3,"20,90%"
JPSA3,29.02,20.27,1.93,4.667,"0,29%",0.468,2.34,12.96,-1.68,20.35,12.83,"36,02%","46,31%",5.31,"4,56%","9,51%",7666510.0,1762140000.0,1.94,"1,01%"
TFCO4,14.75,20.7,6.03,3.641,"1,39%",3.792,7.82,16.54,11.15,16.93,15.81,"22,01%","17,59%",3.15,"27,02%","29,11%",1600280.0,390905000.0,0.26,"26,49%"
STBP3,9.71,20.86,3.83,4.333,"3,69%",1.829,36.79,14.42,-5.51,14.17,10.33,"30,04%","20,77%",1.35,"14,93%","18,36%",38782600.0,2191630000.0,0.19,"23,95%"
VIVA3,33.86,20.89,4.26,3.896,"1,08%",2.646,6.91,19.1,13.61,19.26,14.74,"20,40%","18,65%",3.01,"15,59%","20,40%",67300400.0,1876600000.0,0.15,"29,26%"
PEAB4,36.84,20.98,0.69,9.492,"0,89%",0.54,1.91,50.78,5.67,38.46,25.35,"18,69%","45,24%",12.49,"1,44%","3,27%",8738.79,690575000.0,0.16,"-41,46%"
LAME4,6.55,20.99,1.89,0.476,"0,00%",0.282,1.19,7.32,-4.32,11.24,5.46,"6,51%","2,51%",1.72,"6,53%","9,02%",0.0,6514640000.0,2.54,"9,72%"
LUXM4,15.99,21.02,2.75,2.434,"0,93%",2.004,4887.3,13.18,-15.05,12.86,8.17,"18,47%","11,58%",1.0,"16,86%","13,10%",22237.8,120715000.0,0.03,"4,08%"
LAME3,6.62,21.22,1.91,0.481,"0,00%",0.285,1.2,7.4,-4.37,11.32,5.49,"6,51%","2,51%",1.72,"6,53%","9,02%",0.0,6514640000.0,2.54,"9,72%"
EQTL3,35.21,21.67,2.06,1.071,"0,98%",0.408,10.63,4.88,-0.78,9.22,7.64,"21,95%","7,06%",1.19,"9,73%","9,51%",251698000.0,19573900000.0,2.31,"23,05%"
EZTC3,18.6,21.84,0.89,3.892,"1,10%",0.704,1.95,72.75,2.86,73.08,52.46,"5,35%","18,37%",5.19,"1,13%","4,09%",40516900.0,4598390000.0,0.18,"10,57%"
ENGI3,18.25,22.03,3.09,1.372,"1,64%",0.57,-99.22,6.43,-1.06,10.82,8.62,"21,35%","8,25%",0.98,"10,08%","14,02%",97595.9,12045000000.0,2.58,"11,47%"
GGPS3,19.5,22.06,4.45,1.279,"1,33%",1.356,4.03,12.36,-10.69,12.84,10.76,"10,34%","5,83%",2.45,"15,29%","20,15%",33444900.0,2948660000.0,1.05,"18,41%"
ASAI3,13.41,22.13,4.19,0.283,"0,65%",0.439,-5.31,4.2,-0.76,6.43,4.88,"6,75%","1,28%",0.79,"17,52%","18,94%",172916000.0,4325000000.0,3.26,"58,77%"
BPAC3,17.02,22.15,4.1,0.0,"1,53%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","18,51%",125963.0,47772300000.0,0.0,"35,34%"
CRTP3,86.5,22.26,2.38,2.435,"0,00%",1.57,5.55,19.63,8.19,18.02,18.02,"12,40%","10,94%",2.14,"12,36%","10,68%",0.0,1210570000.0,0.12,"10,11%"
PNVL3,13.05,22.29,1.72,0.454,"2,31%",0.666,2.71,13.39,-27.45,18.91,8.2,"3,39%","2,04%",1.71,"6,76%","7,73%",4555560.0,1139060000.0,0.94,"14,47%"
IGTI3,2.95,22.3,1.49,5.47,"1,04%",0.854,10.6,11.13,-3.68,14.42,11.03,"49,16%","24,99%",1.71,"9,01%","6,70%",301324.0,4153350000.0,0.7,"13,09%"
BSCT6,2.58,22.49,2.04,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","9,05%",0.0,212960000.0,0.0,"1,92%"
RSIP3,0.44,22.7,1.32,0.875,"0,00%",0.433,-10.98,9.53,-1.46,18.48,33.21,"9,17%","3,85%",0.9,"5,00%","5,80%",0.0,66914000.0,1.4,"15,13%"
RSIP4,0.44,22.7,1.32,0.875,"0,00%",0.433,-10.98,9.53,-1.46,18.48,33.21,"9,17%","3,85%",0.9,"5,00%","5,80%",0.0,66914000.0,1.4,"15,13%"
MDIA3,38.0,22.91,1.77,1.189,"0,55%",1.08,4.43,14.78,17.61,15.15,10.79,"8,04%","5,19%",2.19,"9,78%","7,71%",36279000.0,7295590000.0,0.3,"15,72%"
EMAE4,58.5,23.4,1.86,3.584,"5,62%",1.055,2.75,735.17,76.64,579.72,174.58,"0,49%","15,31%",7.07,"0,19%","7,97%",323007.0,1159060000.0,0.0,"7,39%"
TVIT3,19.3,23.46,5.45,1.705,"0,00%",2.424,175.42,16.02,-12.72,17.14,17.14,"10,64%","7,27%",1.04,"17,58%","23,24%",0.0,314984000.0,0.56,"0,00%"
TMGC3,1500.0,23.77,3.05,2.182,"0,00%",2.101,12.7,33.47,22.43,32.14,32.14,"6,52%","9,18%",1.69,"8,73%","12,83%",0.0,1167010000.0,0.05,"10,49%"
POWE3,10.9,23.92,0.99,0.618,"0,00%",0.378,6.57,17.61,-3.01,10.63,10.01,"3,51%","2,59%",1.13,"3,54%","4,13%",0.0,988330000.0,0.04,"0,00%"
TSEP4,29.01,23.97,1.3,1.282,"0,00%",0.906,3.8,14.82,4.43,12.29,12.29,"8,65%","5,35%",1.88,"9,10%","5,43%",0.0,2047020000.0,0.0,"4,50%"
ELEK3,19.11,24.46,2.66,0.619,"0,34%",1.067,3.75,52.11,-110.34,65.77,26.15,"1,19%","2,53%",1.94,"2,52%","10,87%",0.0,226327000.0,0.99,"5,69%"
MAGS3,62.45,24.49,3.13,2.217,"0,00%",2.12,4.9,15.02,6.65,14.19,14.19,"14,76%","8,91%",3.06,"18,74%","12,78%",0.0,848546000.0,0.13,"10,05%"
CSED3,5.26,24.57,1.33,0.864,"4,47%",0.406,16.68,5.4,-0.86,5.85,3.38,"16,00%","3,51%",1.12,"9,09%","5,42%",2381470.0,1439560000.0,0.61,"10,89%"
CRUZ3,27.59,25.31,22.46,6.614,"0,00%",7.185,62.03,20.74,124.93,20.75,19.27,"31,89%","26,13%",1.19,"46,80%","88,76%",0.0,1877350000.0,0.63,"3,04%"
TNLP4,20.36,25.96,0.71,0.344,"0,00%",0.125,1.29,3.4,-0.33,9.07,9.07,"10,12%","-0,07%",1.48,"4,58%","2,72%",0.0,13736000000.0,2.02,"15,39%"
IGTI11,24.11,26.04,1.74,6.387,"0,89%",0.997,12.38,12.99,-4.29,16.29,12.46,"49,16%","24,99%",1.71,"9,01%","6,70%",69810600.0,4153350000.0,0.7,"13,09%"
HGTX4,9.6,26.11,0.92,1.07,"0,00%",0.635,1.92,27.1,2.54,28.0,11.15,"3,95%","4,10%",2.47,"3,00%","3,51%",0.0,1704940000.0,0.12,"-4,62%"
TOTS3,32.85,26.51,4.3,4.795,"1,98%",2.316,7.94,12.89,190.72,12.03,10.26,"37,21%","18,72%",2.97,"28,27%","16,23%",150125000.0,4712480000.0,0.36,"17,86%"
AMBV4,86.8,26.59,8.74,8.027,"0,00%",5.253,144.02,20.54,-37.72,20.36,18.35,"39,08%","30,76%",1.18,"32,43%","32,88%",0.0,31105700000.0,0.1,"21,73%"
